name,type,abv,flavor_tags
151 proof rum,spirit,,
7-Up,other,,
Absinthe,spirit,,
Absolut Citron,spirit,,
Absolut Kurant,spirit,40,
Absolut Vodka,spirit,40,
Advocaat,spirit,17,
Ale,spirit,4,
Amaretto,liqueur,28,
Añejo rum,spirit,38,
Angelica root,other,,
Aperol,liqueur,11,
Apple brandy,spirit,35,
Apple cider,spirit,5,
Apple juice,other,,
Applejack,spirit,40,
Apricot brandy,spirit,24,
Bacardi Limon,spirit,32,
Baileys irish cream,liqueur,13,
Banana liqueur,liqueur,,
Beer,spirit,4,
Berries,other,,
Bitters,other,,
Black Sambuca,spirit,,
Blackberry brandy,spirit,,
Blended Scotch,spirit,,
Blended whiskey,spirit,40,
Blue Curacao,liqueur,,
Bourbon,spirit,,
Brandy,spirit,,
Cachaca,spirit,,
Campari,spirit,,
Cantaloupe,other,,
Carbonated water,other,,
Chambord raspberry liqueur,liqueur,,
Champagne,spirit,13,
Cherry brandy,spirit,,
Cherry Heering,spirit,,
Cherry Juice,other,,
Chocolate,other,,
Chocolate ice-cream,other,,
Chocolate liqueur,liqueur,,
Chocolate syrup,syrup,,
Cider,spirit,4,
Coca-Cola,other,,
Cocoa powder,other,,
Coconut Liqueur,liqueur,,
Coconut rum,spirit,,
Coffee,other,,
Coffee brandy,spirit,,
Coffee liqueur,liqueur,,
Cognac,spirit,,
Cointreau,liqueur,40,
Corona,spirit,4,
Cranberries,other,,
Cranberry juice,juice,,
Cranberry vodka,spirit,,
Creme de Cacao,spirit,,
Creme de Cassis,liqueur,15,
Crown Royal,spirit,,
Dark rum,spirit,40,
demerara Sugar,other,,
Dry Vermouth,spirit,,
Dubonnet Rouge,spirit,,
Egg,other,,
Egg yolk,other,,
Elderflower cordial,other,,
Espresso,other,,
Everclear,other,,
Firewater,other,,
Frangelico,spirit,,
Fruit punch,juice,,
Galliano,liqueur,,
Gin,spirit,40,
Ginger,other,,
Godiva liqueur,liqueur,,
Gold rum,spirit,,
Goldschlager,spirit,44,
Grand Marnier,liqueur,,
Grape juice,juice,,
Grape Soda,other,,
Grapefruit juice,juice,,
Grapes,other,,
Green Chartreuse,spirit,,
Green Creme de Menthe,liqueur,,
Grenadine,syrup,,
Guinness stout,spirit,,
Heavy cream,other,,
Hot Chocolate,other,,
Hot Damn,other,,
Hpnotiq,other,,
Ice,other,,
Irish cream,liqueur,,
Irish whiskey,spirit,,
Jack Daniels,spirit,,
Jägermeister,liqueur,35,
Jim Beam,spirit,,
Johnnie Walker,spirit,,
Kahlua,liqueur,,
Kiwi,other,,
